Frequency (Hz),TR1: Gain (dB)
100.0,-0.0076341
104.54953382919845,-0.00252607
109.3060502390271,-0.00363446
114.27896597201217,-0.00490081
119.47812618856706,-0.00349468
124.91382395800832,-0.005955
130.59682063632332,-0.00553708
136.53836717103047,-0.00508531
142.75022637531168,-0.00512418
149.2446962155137,-0.00244103
156.03463415812294,-0.00328979
163.13348262441278,-0.00393552
170.55529560316,-0.00554126
178.3147664741152,-0.0042326
186.42725709731127,-0.00268051
194.90882822580002,-0.00444179
203.77627130202708,-0.0027757
213.04714170079203,-0.00525179
222.73979348460992,-0.00427378
232.873415740279,-0.00515334
243.46807056859268,-0.00542115
254.54473280240757,-0.00549624
266.1253315316959,-0.00333911
278.2327935177969,-0.00335481
290.8910885828129,-0.00393619
304.12527706401164,-0.00555886
317.96155942718235,-0.00387373
332.4273281371686,-0.00769276
347.55122188826965,-0.00617603
363.363182301869,-0.00212414
379.8945132035446,-0.00355333
397.1779425970086,-0.00371312
415.2476874575735,-0.00500431
434.13952147342,-0.00513902
453.8908458687735,-0.00408536
474.5407634492084,-0.00442294
496.13015601566667,-0.00589897
518.7017653004544,-0.00383238
542.3002775854482,-0.00402386
566.9724121700347,-0.004684
592.7670138639329,-0.00546816
619.7351496880019,-0.00353993
647.9302099744913,-0.00594018
677.4080140668766,-0.00442776
708.2269208285505,-0.00340642
740.4479441791359,-0.00450991
774.1348738871701,-0.00487319
809.3544018582896,-0.00491166
846.1762541689393,-0.00611646
884.6733291069994,-0.00539536
924.9218414926185,-0.00646361
967.0014735649694,-0.00545852
1010.9955327336552,-0.00807248
1056.991116507058,-0.00783971
1105.0792849241677,-0.0047355
1155.355240831257,-0.0069955
1207.9185183602924,-0.00712315
1262.8731799822465,-0.00751758
1320.328022525413,-0.00642978
1380.3967925665936,-0.0042051
1443.198411621581,-0.00655214
1508.8572115807597,-0.00895553
1577.5031808559265,-0.00455594
1649.272221725647,-0.01038529
1724.306419388628,-0.01098512
1802.754323257754,-0.00959683
1884.7712410517013,-0.00913274
1970.5195462663519,-0.00920627
2060.1689996347072,-0.0093784
2153.8970852117477,-0.01117656
2251.8893617495755,-0.01085178
2354.339830058493,-0.01003141
2461.451317081298,-0.01040113
2573.435877441162,-0.01203104
2690.515213258078,-0.013367
2812.921113064982,-0.01354552
2940.8959106925386,-0.01465375
3074.6929650310094,-0.01747889
3214.577161619077,-0.01676063
3360.825437052624,-0.01863241
3513.7273272516395,-0.01864176
3673.5855406707433,-0.01858152
3840.7165575881018,-0.02409998
4015.4512566591984,-0.02301381
4198.135569975883,-0.02472721
4389.131167927549,-0.02670766
4588.8161752203005,-0.02828048
