Frequency (Hz),TR1: Gain (dB)
100.0,0.006545
109.3551836173851,0.00417669
119.58556183992022,0.00239663
130.77301072992634,0.00395413
143.00706600569367,0.00480738
156.3856396163614,0.00481311
171.0158033536943,0.00210239
187.01464577217862,0.00032742
204.51020927556826,0.00445212
223.64251486959617,0.0045611
244.56468278218492,0.00250816
267.4441579197337,0.00535054
292.4640499670941,-0.00315733
319.824598856357,-0.00035931
349.7447773329345,0.00245049
382.4640434446452,0.00493948
418.2442569793672,0.00192072
457.37177518895544,0.0051502
500.159744571976,0.00568381
546.9506070569287,0.00028343
598.1188406435074,0.00301734
654.0739564358823,0.00148897
715.2637760539545,-0.00233589
782.1780156524441,-0.00127776
855.3522052315502,-0.00032955
935.3719746063143,-0.00159965
1022.8777403362967,-0.00210166
1118.569831126117,0.00147802
1223.2140927166395,-0.00508452
1337.648017124012,-0.00291138
1462.7874452802744,-0.00171794
1599.6338967183005,-0.00740462
1749.2825849622313,-0.00544303
1912.9311827723905,-0.00921534
2091.889407394964,-0.01230351
2287.5895025293917,-0.01338206
2501.5977009030426,-0.01158567
2735.6267591908063,-0.01890454
2991.5496655994275,-0.02626735
3271.414629821527,-0.02620311
3577.4614753273295,-0.02520871
3912.139565185419,-0.03284836
4278.1274048768855,-0.04012115
4678.35407898879,-0.04958103
5116.022693349617,-0.0588574
5594.636010219563,-0.0698687
6118.0244816999575,-0.0820079
6690.376905719561,-0.09849423
7316.273949944761,-0.12337987
8000.724811913006,-0.13771387
8749.207308789155,-0.16874377
9567.711717592058,-0.19579282
10462.788716754885,-0.23058226
11441.601812706354,-0.27231959
12511.984671055096,-0.31787766
13682.503811211376,-0.37793492
14962.527166205913,-0.4398486
16362.299056405604,-0.52480829
17893.022177158015,-0.61553687
19566.947256530584,-0.72303334
21397.471100695915,-0.85084954
23399.24381164293,-0.99315036
25588.286035301742,-1.16218905
27982.117178445988,-1.3472299
30599.895620521464,-1.55532197
33462.57204254943,-1.8046032
36593.05710022977,-2.0710247
40016.40478317084,-2.37862121
43760.01292771254,-2.70331741
47853.842488091504,-3.07624591
52330.65732082671,-3.47588309
57226.28640137462,-3.90625759
62579.91057163389,-4.37663779
68434.37611320562,-4.86586586
74836.53765600793,-5.39133135
81837.63316662102,-5.94562923
89493.69401748046,-6.52575359
97865.99341879673,-7.11946098
107021.53680210318,-7.74254505
117033.5980800873,-8.37455469
127982.30607451193,-9.03285463
139955.2858055466,-9.70803098
153048.35977489158,-10.38118148
167366.31485522885,-11.06446861
183023.74092358636,-11.75729842
200145.94795039506,-12.45439926
218869.9688839105,-13.16130628
239345.65635631394,-13.8587441
261736.88198868264,-14.57123294
286222.84789314243,-15.27714713
312999.52086845477,-16.00942025
342281.20076723496,-16.71076442
374302.2355868003,-17.41489893
409318.89700992283,-18.08626015
447611.43140585645,-18.79418389
489486.3027062811,-19.48639391
535278.645106403,-20.1455941
585354.9452207582,-20.80928759
640115.975159604,-21.4409927
700000.0000000001,-22.04216694
