Frequency (Hz),TR1: Gain (dB)
100.0,-0.0188616
109.3551836173851,-0.02245975
119.58556183992022,-0.02238139
130.77301072992634,-0.02555729
143.00706600569367,-0.02798036
156.3856396163614,-0.03985342
171.0158033536943,-0.03856394
187.01464577217862,-0.03952404
204.51020927556826,-0.04743944
223.64251486959617,-0.06023149
244.56468278218492,-0.0728791
267.4441579197337,-0.08065208
292.4640499670941,-0.09465781
319.824598856357,-0.11096603
349.7447773329345,-0.12751552
382.4640434446452,-0.14870538
418.2442569793672,-0.17945353
457.37177518895544,-0.21117548
500.159744571976,-0.24820238
546.9506070569287,-0.28620479
598.1188406435074,-0.34255474
654.0739564358823,-0.40039512
715.2637760539545,-0.47268459
782.1780156524441,-0.55427316
855.3522052315502,-0.65224703
935.3719746063143,-0.76942934
1022.8777403362967,-0.89422604
1118.569831126117,-1.05038069
1223.2140927166395,-1.22289946
1337.648017124012,-1.42295581
1462.7874452802744,-1.64711882
1599.6338967183005,-1.90356488
1749.2825849622313,-2.18797911
1912.9311827723905,-2.50183654
2091.889407394964,-2.8557586
2287.5895025293917,-3.24146274
2501.5977009030426,-3.66281898
2735.6267591908063,-4.11064927
2991.5496655994275,-4.59565834
3271.414629821527,-5.11428139
3577.4614753273295,-5.6510936
3912.139565185419,-6.22772049
4278.1274048768855,-6.82012699
4678.35407898879,-7.43947365
5116.022693349617,-8.08022399
5594.636010219563,-8.75471203
6118.0244816999575,-9.42217725
6690.376905719561,-10.09469292
7316.273949944761,-10.79689679
8000.724811913006,-11.51437573
8749.207308789155,-12.22000745
9567.711717592058,-12.94300091
10462.788716754885,-13.67571278
11441.601812706354,-14.43018277
12511.984671055096,-15.17197199
13682.503811211376,-15.93232999
14962.527166205913,-16.66934511
16362.299056405604,-17.44435005
17893.022177158015,-18.22084569
19566.947256530584,-18.93202568
21397.471100695915,-19.72201652
23399.24381164293,-20.50844963
25588.286035301742,-21.26940852
27982.117178445988,-22.04128626
30599.895620521464,-22.78612453
33462.57204254943,-23.50775509
36593.05710022977,-24.34612725
40016.40478317084,-25.06284562
43760.01292771254,-25.89815567
47853.842488091504,-26.5864169
52330.65732082671,-27.38147309
57226.28640137462,-28.05825951
62579.91057163389,-28.84963748
68434.37611320562,-29.68920365
74836.53765600793,-30.48163287
81837.63316662102,-31.22197442
89493.69401748046,-31.9685851
97865.99341879673,-32.88427138
107021.53680210318,-33.61568811
117033.5980800873,-34.33036902
127982.30607451193,-35.08366859
139955.2858055466,-35.77350573
153048.35977489158,-36.5881082
167366.31485522885,-37.39442681
183023.74092358636,-38.0238823
200145.94795039506,-38.67915389
218869.9688839105,-36.63359393
239345.65635631394,-39.70902668
261736.88198868264,-38.36673492
286222.84789314243,-39.70911851
312999.52086845477,-34.93298542
342281.20076723496,-38.84938088
374302.2355868003,-39.91374036
409318.89700992283,-35.61850002
447611.43140585645,-41.47642202
489486.3027062811,-36.95904801
535278.645106403,-38.3119202
585354.9452207582,-38.0137715
640115.975159604,-38.4293013
700000.0000000001,-33.44774284
